Date,portfolio_value
2023-11-27,99900.09990009991
2023-11-28,100221.18389051732
2023-11-29,99679.03212544741
2023-11-30,99984.32965549323
2023-12-01,100663.33557700092
2023-12-04,99710.59703068412
2023-12-05,101810.83373174265
2023-12-06,101231.81976714914
2023-12-07,102258.24215723536
2023-12-08,103016.22916371656
2023-12-11,101684.50117499522
2023-12-12,102489.86391210106
2023-12-13,104200.56515296553
2023-12-14,104279.5219790883
2023-12-15,103995.27582317815
2023-12-18,103110.97250329376
2023-12-19,103663.67017998756
2023-12-20,102553.01803450802
2023-12-21,102474.05313979594
2023-12-22,101905.57701823702
2023-12-26,101616.08219190703
2023-12-27,101668.70659295151
2023-12-28,101895.05536546385
2023-12-29,101342.36581044216
2024-01-02,97715.64963390949
2024-01-03,96984.00317417872
2024-01-04,95752.2914543051
2024-01-05,95368.03709813651
2024-01-08,97673.54688563819
2024-01-09,97452.47109547921
2024-01-10,98005.16065050088
2024-01-11,97689.3415207647
2024-01-12,97863.04163338187
2024-01-16,96657.65426999725
2024-01-17,96157.58906293723
2024-01-18,99289.5129616804
2024-01-19,100831.78701919825
2024-01-22,102058.23387839063
2024-01-23,102737.23979989834
2024-01-24,102379.30980021875
2024-01-25,102205.6177561909
2024-01-26,101284.44416819362
2024-01-29,100921.2573764221
2024-01-30,98978.94244928124
2024-01-31,97062.94375695725
2024-02-01,98357.83391117136
2024-02-02,97826.1956772025
2024-02-05,98789.46394488179
2024-02-06,99642.18616926805
2024-02-07,99700.09162125518
2024-02-08,99126.34257042572
2024-02-09,99532.16665450942
2024-02-12,98636.1834146253
2024-02-13,97524.12186707735
2024-02-14,97055.05458760752
2024-02-15,96902.21140674056
2024-02-16,96085.29837789196
2024-02-20,95690.00401517074
2024-02-21,96090.5713602453
2024-02-22,97170.99506675593
2024-02-23,96195.96587468701
2024-02-26,95479.1987429431
2024-02-27,96253.96045273617
2024-02-28,95616.23109842213
2024-02-29,95263.12048836211
2024-03-01,94688.63432943421
2024-03-04,92285.31136954237
2024-03-05,89660.63722579899
2024-03-06,89133.58348995211
2024-03-07,89070.34836315527
2024-03-08,89982.13435983803
2024-03-11,91046.76343122213
2024-03-12,91299.73626584955
2024-03-13,90192.9477537378
2024-03-14,91178.5147357585
2024-03-15,90978.23918489333
2024-03-18,91557.99020450245
2024-03-19,92801.81919376535
2024-03-20,94166.8454542686
2024-03-21,90319.44226618222
2024-03-22,90799.03926701452
2024-03-25,90045.37755522419
2024-03-26,89444.54278095657
2024-03-27,91341.89570657723
2024-03-28,90377.41247921501
2024-04-01,89613.20480271797
2024-04-02,88986.02141311063
2024-04-03,89412.9211832635
2024-04-04,88975.48357007604
2024-04-05,89376.03467180637
2024-04-08,88780.48100156424
2024-04-09,89423.45902629811
2024-04-10,88427.34607957068
2024-04-11,92253.6897718493
2024-04-12,93049.52716771154
2024-04-15,91015.13376493975
2024-04-16,89270.62396710325
2024-04-17,88543.30274898052
2024-04-18,88037.33276779213
2024-04-19,86962.18204363486
2024-04-22,87404.88451750357
2024-04-23,87963.54366078209
2024-04-24,89080.88620618985
2024-04-25,89539.41569570792
2024-04-26,89228.46452637558
2024-04-29,91442.04160368192
2024-04-30,89771.31284426617
2024-05-01,89228.46452637558
2024-05-02,91194.33362973575
2024-05-03,96649.24669378524
2024-05-06,95769.07422620626
2024-05-07,96132.72267930086
2024-05-08,96311.93066576894
2024-05-09,97276.42201480328
2024-05-10,96606.15575565651
2024-05-13,98310.81457862916
2024-05-14,98917.74039465564
2024-05-15,100126.31097576597
2024-05-16,100189.64329721416
2024-05-17,100205.4783814528
2024-05-20,100822.95016218601
2024-05-21,101514.3163662527
2024-05-22,100749.06380744182
2024-05-23,98627.47613278721
2024-05-24,100263.52965195834
2024-05-28,100268.810702901
2024-05-29,100427.12932401324
2024-05-30,100954.89585602502
2024-05-31,101461.54619977265
2024-06-03,102400.94434226232
2024-06-04,102569.82511834272
2024-06-05,103372.02082798426
2024-06-06,102638.43849073353
2024-06-07,103910.34139329205
2024-06-10,101920.67504746006
2024-06-11,109325.13610429164
