Date,portfolio_value
2023-11-27,100000.0
2023-11-28,100000.0
2023-11-29,100000.0
2023-11-30,100000.0
2023-12-01,100000.0
2023-12-04,100000.0
2023-12-05,100000.0
2023-12-06,100000.0
2023-12-07,100000.0
2023-12-08,100000.0
2023-12-11,100000.0
2023-12-12,100000.0
2023-12-13,100000.0
2023-12-14,100000.0
2023-12-15,100000.0
2023-12-18,100000.0
2023-12-19,100000.0
2023-12-20,100000.0
2023-12-21,100000.0
2023-12-22,100000.0
2023-12-26,100000.0
2023-12-27,100000.0
2023-12-28,100000.0
2023-12-29,100000.0
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,100000.0
2024-02-02,100000.0
2024-02-05,100000.0
2024-02-06,100000.0
2024-02-07,100000.0
2024-02-08,100000.0
2024-02-09,100000.0
2024-02-12,100000.0
2024-02-13,100000.0
2024-02-14,100000.0
2024-02-15,100000.0
2024-02-16,100000.0
2024-02-20,100000.0
2024-02-21,100000.0
2024-02-22,100000.0
2024-02-23,100000.0
2024-02-26,100000.0
2024-02-27,100000.0
2024-02-28,100000.0
2024-02-29,100000.0
2024-03-01,100000.0
2024-03-04,100000.0
2024-03-05,100000.0
2024-03-06,100000.0
2024-03-07,100000.0
2024-03-08,100000.0
2024-03-11,100000.0
2024-03-12,100000.0
2024-03-13,100000.0
2024-03-14,100000.0
2024-03-15,100000.0
2024-03-18,100000.0
2024-03-19,100000.0
2024-03-20,100000.0
2024-03-21,100000.0
2024-03-22,100000.0
2024-03-25,100000.0
2024-03-26,100000.0
2024-03-27,100000.0
2024-03-28,100000.0
2024-04-01,100000.0
2024-04-02,100000.0
2024-04-03,100000.0
2024-04-04,100000.0
2024-04-05,100000.0
2024-04-08,100000.0
2024-04-09,100000.0
2024-04-10,100000.0
2024-04-11,100000.0
2024-04-12,100000.0
2024-04-15,100000.0
2024-04-16,100000.0
2024-04-17,100000.0
2024-04-18,100000.0
2024-04-19,100000.0
2024-04-22,100000.0
2024-04-23,100000.0
2024-04-24,100000.0
2024-04-25,100000.0
2024-04-26,100000.0
2024-04-29,100000.0
2024-04-30,100000.0
2024-05-01,100000.0
2024-05-02,100000.0
2024-05-03,100000.0
2024-05-06,100000.0
2024-05-07,100000.0
2024-05-08,100000.0
2024-05-09,100000.0
2024-05-10,100000.0
2024-05-13,100000.0
2024-05-14,100000.0
2024-05-15,100000.0
2024-05-16,100000.0
2024-05-17,99900.09990009991
2024-05-20,100515.68992149495
2024-05-21,101204.94917128263
2024-05-22,100442.02873710242
2024-05-23,98326.90664928606
2024-05-24,99957.97425803426
2024-05-28,99963.23921485367
2024-05-29,100121.07535635638
2024-05-30,100647.2335078219
2024-05-31,101152.33982308877
2024-06-03,102088.87512830873
2024-06-04,102257.24123637135
2024-06-05,103056.99223628729
2024-06-06,102325.64550794454
2024-06-07,103593.6722573916
2024-06-10,101610.06946513876
2024-06-11,108991.96525798182
2024-06-12,112106.78625653536
2024-06-13,112722.37627793041
2024-06-14,111801.60356132628
2024-06-17,114000.91680009509
2024-06-18,112748.66883310615
2024-06-20,110323.13132218266
2024-06-21,109170.86133260436
2024-06-24,109512.85845262794
2024-06-25,110002.1779414366
2024-06-26,112201.48308328429
2024-06-27,112648.72319045902
2024-06-28,110817.69152996838
2024-07-01,114043.00427865017
2024-07-02,115895.05544057598
2024-07-03,116568.5278109844
2024-07-05,119088.78638649918
2024-07-08,119867.4856031375
2024-07-09,120319.97447328937
2024-07-10,122582.41892989082
2024-07-11,119735.95815773176
2024-07-12,121298.60535398555
2024-07-15,123329.55253761282
2024-07-16,123550.5441347905
2024-07-17,120425.2012665982
2024-07-18,117952.30322337907
2024-07-19,118020.69135403103
2024-07-22,117836.54651643136
2024-07-23,118389.00526707275
2024-07-24,114984.81263761071
2024-07-25,114432.36198389047
2024-07-26,114679.64608332285
2024-07-29,114826.97654902906
2024-07-30,115121.613136757
2024-07-31,116847.38566917527
2024-08-01,114890.10776686169
2024-08-02,115679.32880021771
2024-08-05,110107.40473474545
2024-08-06,109034.05278945797
2024-08-07,110396.79250657519
2024-08-08,112233.04064820052
2024-08-09,113774.68448394035
2024-08-12,114471.3000732563
2024-08-13,114471.3000732563
2024-08-14,114471.3000732563
2024-08-15,114471.3000732563
2024-08-16,114471.3000732563
2024-08-19,114471.3000732563
2024-08-20,114471.3000732563
2024-08-21,114471.3000732563
2024-08-22,114471.3000732563
2024-08-23,114471.3000732563
2024-08-26,114471.3000732563
2024-08-27,114471.3000732563
2024-08-28,114471.3000732563
2024-08-29,114471.3000732563
2024-08-30,114471.3000732563
2024-09-03,114471.3000732563
2024-09-04,114471.3000732563
2024-09-05,114471.3000732563
2024-09-06,114471.3000732563
2024-09-09,114471.3000732563
2024-09-10,114471.3000732563
2024-09-11,114471.3000732563
2024-09-12,114471.3000732563
2024-09-13,114471.3000732563
2024-09-16,114471.3000732563
2024-09-17,114471.3000732563
2024-09-18,114471.3000732563
2024-09-19,114471.3000732563
2024-09-20,114471.3000732563
2024-09-23,114471.3000732563
2024-09-24,114471.3000732563
2024-09-25,114471.3000732563
2024-09-26,114471.3000732563
2024-09-27,114471.3000732563
2024-09-30,114471.3000732563
2024-10-01,114471.3000732563
2024-10-02,114471.3000732563
2024-10-03,114471.3000732563
2024-10-04,114471.3000732563
2024-10-07,114471.3000732563
2024-10-08,114471.3000732563
2024-10-09,114471.3000732563
2024-10-10,114471.3000732563
2024-10-11,114471.3000732563
2024-10-14,114471.3000732563
2024-10-15,114471.3000732563
2024-10-16,114471.3000732563
2024-10-17,114471.3000732563
2024-10-18,114471.3000732563
2024-10-21,114471.3000732563
2024-10-22,114471.3000732563
2024-10-23,114471.3000732563
2024-10-24,114471.3000732563
2024-10-25,114471.3000732563
2024-10-28,114471.3000732563
2024-10-29,114471.3000732563
2024-10-30,114471.3000732563
2024-10-31,114471.3000732563
2024-11-01,114471.3000732563
2024-11-04,114471.3000732563
2024-11-05,114471.3000732563
2024-11-06,114471.3000732563
2024-11-07,114471.3000732563
2024-11-08,114471.3000732563
2024-11-11,114471.3000732563
2024-11-12,114471.3000732563
2024-11-13,114471.3000732563
2024-11-14,114471.3000732563
2024-11-15,114471.3000732563
2024-11-18,114471.3000732563
2024-11-19,114471.3000732563
2024-11-20,114471.3000732563
2024-11-21,114471.3000732563
2024-11-22,114471.3000732563
2024-11-25,114471.3000732563
2024-11-26,114471.3000732563
2024-11-27,114471.3000732563
2024-11-29,114471.3000732563
2024-12-02,114471.3000732563
2024-12-03,114471.3000732563
2024-12-04,114471.3000732563
2024-12-05,114471.3000732563
2024-12-06,114471.3000732563
2024-12-09,114471.3000732563
2024-12-10,114471.3000732563
2024-12-11,114471.3000732563
2024-12-12,114356.94313012618
2024-12-13,114435.34063787891
2024-12-16,115777.39852594967
2024-12-17,116902.71046663038
2024-12-18,114398.44767127394
2024-12-19,115200.9182918997
2024-12-20,117368.52605597599
2024-12-23,117728.25326136347
2024-12-24,119079.54850734753
2024-12-26,119457.70099850297
2024-12-27,117875.82498893487
2024-12-30,116312.38833511392
2024-12-31,115491.47127746853
2025-01-02,112461.44899587151
2025-01-03,112235.46569056816
2025-01-06,112991.8130679481
2025-01-07,111705.09453721913
2025-01-08,111931.06372626041
2025-01-10,109233.1060063696
2025-01-13,108103.18952613571
2025-01-14,107586.65323526354
2025-01-15,109703.51201900632
2025-01-16,105271.47374361588
2025-01-17,106064.72112259039
2025-01-21,102576.8965989839
2025-01-22,102576.8965989839
2025-01-23,102576.8965989839
2025-01-24,102576.8965989839
2025-01-27,102576.8965989839
2025-01-28,102576.8965989839
2025-01-29,102576.8965989839
2025-01-30,102576.8965989839
2025-01-31,102576.8965989839
2025-02-03,102576.8965989839
2025-02-04,102576.8965989839
2025-02-05,102576.8965989839
2025-02-06,102576.8965989839
2025-02-07,102576.8965989839
2025-02-10,102576.8965989839
2025-02-11,102576.8965989839
2025-02-12,102576.8965989839
2025-02-13,102576.8965989839
2025-02-14,102576.8965989839
2025-02-18,102576.8965989839
2025-02-19,102576.8965989839
2025-02-20,102576.8965989839
2025-02-21,102576.8965989839
2025-02-24,102576.8965989839
2025-02-25,102576.8965989839
2025-02-26,102576.8965989839
2025-02-27,102576.8965989839
2025-02-28,102576.8965989839
2025-03-03,102576.8965989839
2025-03-04,102576.8965989839
2025-03-05,102576.8965989839
2025-03-06,102576.8965989839
2025-03-07,102576.8965989839
2025-03-10,102576.8965989839
2025-03-11,102576.8965989839
2025-03-12,102576.8965989839
2025-03-13,102576.8965989839
2025-03-14,102576.8965989839
2025-03-17,102576.8965989839
2025-03-18,102576.8965989839
2025-03-19,102576.8965989839
2025-03-20,102576.8965989839
2025-03-21,102576.8965989839
2025-03-24,102576.8965989839
2025-03-25,102576.8965989839
2025-03-26,102576.8965989839
2025-03-27,102576.8965989839
2025-03-28,102576.8965989839
2025-03-31,102576.8965989839
2025-04-01,102576.8965989839
2025-04-02,102576.8965989839
2025-04-03,102576.8965989839
2025-04-04,102576.8965989839
2025-04-07,102576.8965989839
2025-04-08,102576.8965989839
2025-04-09,102576.8965989839
2025-04-10,102576.8965989839
2025-04-11,102576.8965989839
2025-04-14,102576.8965989839
2025-04-15,102576.8965989839
2025-04-16,102576.8965989839
2025-04-17,102576.8965989839
2025-04-21,102576.8965989839
2025-04-22,102576.8965989839
2025-04-23,102576.8965989839
2025-04-24,102576.8965989839
2025-04-25,102576.8965989839
2025-04-28,102576.8965989839
2025-04-29,102576.8965989839
2025-04-30,102576.8965989839
2025-05-01,102576.8965989839
2025-05-02,102576.8965989839
2025-05-05,102576.8965989839
2025-05-06,102576.8965989839
2025-05-07,102576.8965989839
2025-05-08,102576.8965989839
2025-05-09,102576.8965989839
2025-05-12,102576.8965989839
2025-05-13,102576.8965989839
2025-05-14,102576.8965989839
2025-05-15,102576.8965989839
2025-05-16,102576.8965989839
2025-05-19,102576.8965989839
2025-05-20,102576.8965989839
2025-05-21,102576.8965989839
2025-05-22,102576.8965989839
2025-05-23,102576.8965989839
2025-05-27,102576.8965989839
2025-05-28,102576.8965989839
2025-05-29,102576.8965989839
2025-05-30,102576.8965989839
2025-06-02,102576.8965989839
