Date,portfolio_value
2023-11-27,99900.09990009991
2023-11-28,99426.73794061155
2023-11-29,98946.61728913426
2023-11-30,98791.07594650277
2023-12-01,99426.73794061155
2023-12-04,97945.78298969044
2023-12-05,99325.3069108237
2023-12-06,97729.39340262143
2023-12-07,99325.3069108237
2023-12-08,99690.46893739639
2023-12-11,98655.83116973934
2023-12-12,99731.04130873745
2023-12-13,100650.72045148988
2023-12-14,99690.46893739639
2023-12-15,101414.86859799662
2023-12-18,104187.43362137066
2023-12-19,103998.07853176359
2023-12-20,102868.76835868419
2023-12-21,104031.89227873918
2023-12-22,103747.87513009555
2023-12-26,103741.11650573005
2023-12-27,103693.77509601424
2023-12-28,103720.83028624779
2023-12-29,102747.05110941408
2024-01-02,101387.81347538653
2024-01-03,100400.51704982184
2024-01-04,97763.207149597
2024-01-05,98216.28295722655
2024-01-08,100826.54801360363
2024-01-09,102361.5925845968
2024-01-10,103957.50609279907
2024-01-11,104938.04389399829
2024-01-12,104559.35427230885
2024-01-16,103572.05791436759
2024-01-17,102591.52011316839
2024-01-18,103801.97509655337
2024-01-19,105046.24382691397
2024-01-22,104667.55427284795
2024-01-23,105506.0886052948
2024-01-24,106080.88159457102
2024-01-25,106675.97114971529
2024-01-26,107602.4089168332
2024-01-29,109049.55005315528
2024-01-30,107521.26410652761
2024-01-31,104951.57142149161
2024-02-01,107710.60891737232
2024-02-02,116183.82470497783
2024-02-05,115169.47315680304
2024-02-06,114385.03879081404
2024-02-07,115318.24552868324
2024-02-08,114851.64212593692
2024-02-09,117969.0829564014
2024-02-12,116542.22803956157
2024-02-13,114040.16298372363
2024-02-14,115622.54889680914
2024-02-15,114824.59734971261
2024-02-16,114628.48356811662
2024-02-20,112985.23899658432
2024-02-21,114006.3491691246
2024-02-22,118056.99673745826
2024-02-23,118334.25532935986
2024-02-26,118158.42776724612
2024-02-27,117353.7072493983
2024-02-28,117096.74522336476
2024-02-29,119531.1827176281
2024-03-01,120518.48942195515
2024-03-04,120085.69983380784
2024-03-05,117745.92439858109
2024-03-06,117333.42102991605
2024-03-07,119571.76543535496
2024-03-08,118577.70010666244
2024-03-11,116285.26601352803
2024-03-12,118604.74495051017
2024-03-13,119395.93794086466
2024-03-14,120876.89282416232
2024-03-15,117948.79680454258
2024-03-18,117989.36917588365
2024-03-19,118949.6207576006
2024-03-20,120471.14807986277
2024-03-21,120471.14807986277
2024-03-22,120958.03763446792
2024-03-25,121526.08234576444
2024-03-26,120572.58945603642
2024-03-27,121607.22715607002
2024-03-28,121979.15815339398
2024-04-01,122378.13392694226
2024-04-02,122188.78911609753
2024-04-03,123351.91310377597
2024-04-04,121722.18578097464
2024-04-05,125150.69895031629
2024-04-08,125231.8437606219
2024-04-09,125556.43341585349
2024-04-10,125745.77815907478
2024-04-11,127842.1088846224
2024-04-12,125867.50575473066
2024-04-15,124170.15087035476
2024-04-16,123967.28881077903
2024-04-17,122587.76495726922
2024-04-18,121194.723787405
2024-04-19,118090.81055205729
2024-04-22,119849.01368087076
2024-04-23,121411.11344209746
2024-04-24,119416.22409272347
2024-04-25,117441.6210304552
2024-04-26,121465.21340855531
2024-04-29,122371.37530257677
2024-04-30,118341.01395372536
2024-05-01,121045.95141552479
2024-05-02,124914.01279737923
2024-05-03,125921.60572118852
2024-05-06,127605.42266406189
2024-05-07,127645.9951030264
2024-05-08,127132.06070457352
2024-05-09,128146.41225274831
2024-05-10,126780.41592673182
2024-05-13,126165.05049849108
2024-05-14,126503.16768121601
2024-05-15,125772.8333493083
2024-05-16,124176.91984110602
2024-05-17,124900.48520226245
2024-05-20,124116.05090389689
2024-05-21,123852.31990711208
2024-05-22,123838.80265838109
2024-05-23,122432.23396102354
2024-05-24,122229.36155506205
2024-05-28,123176.0855416622
2024-05-29,123088.18210699114
2024-05-30,121262.3513489796
2024-05-31,119314.79306293563
2024-06-03,120599.63423226072
2024-06-04,121275.86859771058
2024-06-05,122587.76495726922
2024-06-06,125103.35760822395
2024-06-07,124629.99564873557
2024-06-10,126496.39877808817
2024-06-11,126611.35733536935
2024-06-12,126381.44015318355
2024-06-13,124312.16461786946
2024-06-14,124197.20606058829
2024-06-17,124467.6956817386
2024-06-18,123622.40272492627
2024-06-20,125847.21953524841
2024-06-21,127862.39503648122
2024-06-24,125488.81613304123
2024-06-25,126009.5091558596
2024-06-26,130925.73590048785
2024-06-27,133792.9733292843
2024-06-28,130682.29112318528
2024-07-01,133353.41477038572
2024-07-02,135246.87308997184
2024-07-03,133617.14576717053
2024-07-05,135246.87308997184
2024-07-08,134766.74215973215
2024-07-09,134800.55590670777
2024-07-10,135104.8593424571
2024-07-11,131899.51507732156
2024-07-12,131520.82545563212
2024-07-15,130323.8877209781
2024-07-16,130526.7601269396
2024-07-17,127084.71936248118
2024-07-18,124258.06465141162
2024-07-19,123838.80265838109
2024-07-22,123446.58550919832
2024-07-23,126056.8505655754
2024-07-24,122283.46152151989
2024-07-25,121620.7547511868
2024-07-26,123412.7716945993
2024-07-29,123886.13365408767
2024-07-30,122878.55107666415
2024-07-31,126442.29874400688
2024-08-01,124474.46458486644
2024-08-02,113539.74583400172
2024-08-05,108887.2604325441
2024-08-06,109502.62586078483
2024-08-07,110070.67057208135
2024-08-08,112119.65988791318
2024-08-09,112890.56659116196
2024-08-12,112795.89425336303
2024-08-13,115115.37312272175
2024-08-14,115027.46968805067
2024-08-15,120092.45845817334
2024-08-16,119734.05512358958
2024-08-19,120518.48942195515
2024-08-20,120964.80660521919
2024-08-21,121796.57196691475
2024-08-22,119105.16210023208
2024-08-23,119720.52752847281
2024-08-26,118679.13113645028
2024-08-27,117069.69003313124
2024-08-28,115500.83171516248
2024-08-29,116393.45566768138
2024-08-30,120707.83423279985
2024-09-03,119186.30691053768
2024-09-04,117211.70378064594
2024-09-05,120295.33086413483
2024-09-06,115899.80748871074
2024-09-09,118611.50357487566
2024-09-10,121417.88241284875
2024-09-11,124778.76802061578
2024-09-12,126455.82633912365
2024-09-13,126110.95053203324
2024-09-16,125028.97142228384
2024-09-17,126374.68152881807
2024-09-18,126070.36781430639
2024-09-19,128396.61565441637
2024-09-20,129566.50854522265
2024-09-23,131108.32208696706
2024-09-24,131162.42205342493
2024-09-25,130195.40156858013
2024-09-26,129268.96380146223
2024-09-27,127111.77448509127
2024-09-30,126002.75053149411
2024-10-01,125191.27138928081
2024-10-02,124941.05764122697
2024-10-03,123047.60966802662
2024-10-04,126124.46778076423
2024-10-07,122263.17536966107
2024-10-08,123561.54406647952
2024-10-09,125218.31623312857
2024-10-10,126219.14018618657
2024-10-11,127686.57782075326
2024-10-14,126820.98836569634
2024-10-15,126922.42967424654
2024-10-16,126381.44015318355
2024-10-17,126814.22974133084
2024-10-18,127801.53644565788
2024-10-21,127855.63641211572
2024-10-22,128281.65702951174
2024-10-23,124907.25417301373
2024-10-24,126036.56434609313
2024-10-25,127017.1020796689
2024-10-28,127395.79170135834
2024-10-29,129045.80517601848
2024-10-30,130330.64634534357
2024-10-31,126050.08159482412
2024-11-01,133847.06301697978
2024-11-04,132393.16325629217
2024-11-05,134908.7559072469
2024-11-06,140041.37223894417
2024-11-07,142043.03055906942
2024-11-08,140778.4652628408
2024-11-11,139872.31364758173
2024-11-12,141272.12378819723
2024-11-13,144781.78176784446
2024-11-14,143010.04069752846
2024-11-15,137011.84518953657
2024-11-18,136396.46941491007
2024-11-19,138364.3139204363
2024-11-20,137194.43137601583
2024-11-21,134151.37673149141
2024-11-22,133299.31480392785
2024-11-25,136227.41082354757
2024-11-26,140562.07560814836
2024-11-27,139128.462066943
2024-11-29,140582.3618276306
2024-12-02,142489.3476747101
2024-12-03,144335.4645845804
2024-12-04,147527.29166860844
2024-12-05,149143.491396293
2024-12-06,153525.48717660026
2024-12-09,152889.8251824915
2024-12-10,152179.77707006602
2024-12-11,155709.72126919555
2024-12-12,154837.3834685355
2024-12-13,153816.2732959952
2024-12-16,157515.26580772485
2024-12-17,156311.5694487053
2024-12-18,149123.20517681073
2024-12-19,150996.36693052878
2024-12-20,152098.63225976046
2024-12-23,152193.30466518283
2024-12-24,154891.48350261676
2024-12-26,153539.01477171708
2024-12-27,151307.43926940596
2024-12-30,149650.66717038036
2024-12-31,148359.057030304
2025-01-02,148920.33277084923
2025-01-03,151604.9840131664
2025-01-06,153917.70432578307
2025-01-07,150198.41531580884
2025-01-08,150211.9429109256
2025-01-10,148054.7535945546
2025-01-13,147730.1640069465
2025-01-14,147256.7917010723
2025-01-15,151036.94964825566
2025-01-16,149217.87758223305
2025-01-17,152788.39415270364
2025-01-21,156014.03498370724
2025-01-22,158921.8345050824
2025-01-23,159199.09309698397
2025-01-24,158813.64485092903
2025-01-27,159199.09309698397
2025-01-28,161045.21000685432
2025-01-29,160314.88595370896
2025-01-30,158671.63110341434
2025-01-31,160727.37904361164
2025-02-03,160551.5618278837
2025-02-04,163689.28887783043
2025-02-05,159706.2688710714
2025-02-06,161505.0547176117
2025-02-07,154959.10071780562
2025-02-10,157657.27955523954
2025-02-11,157400.30718282022
2025-02-12,154810.32834592537
2025-02-13,155784.10745513567
2025-02-14,154641.26975456293
2025-02-18,153268.51480418094
2025-02-19,153254.99755544995
2025-02-20,150719.11868501297
2025-02-21,146458.84008635237
2025-02-24,143841.81640560977
2025-02-25,143902.67506405653
2025-02-26,144950.84035920695
2025-02-27,141157.1651632926
2025-02-28,143551.03028621484
2025-03-03,138641.57251233788
2025-03-04,137816.56577500782
2025-03-05,140900.1927908733
2025-03-06,135720.2350494602
2025-03-07,134739.69731588446
2025-03-10,131554.62892384536
2025-03-11,132940.91140172066
2025-03-12,134496.25253858184
2025-03-13,131115.08071133256
2025-03-14,133860.5905444731
2025-03-17,132366.11841244443
2025-03-18,130391.5152825527
2025-03-19,132230.86328929523
2025-03-20,131831.88744812348
2025-03-21,132683.9493756871
2025-03-24,137451.39340204938
2025-03-25,139108.17584746075
2025-03-26,136011.02123647853
2025-03-27,136166.55223272427
2025-03-28,130323.8877209781
2025-03-31,128660.3466512012
2025-04-01,129951.95679127758
2025-04-02,132548.6942525379
2025-04-03,120646.97564197653
2025-04-04,115636.07649192591
2025-04-07,118516.8311694533
2025-04-08,115406.15930974012
2025-04-09,129228.39136249771
2025-04-10,122547.19251830473
