Date,portfolio_value
2023-11-27,100000.0
2023-11-28,100000.0
2023-11-29,100000.0
2023-11-30,100000.0
2023-12-01,100000.0
2023-12-04,100000.0
2023-12-05,100000.0
2023-12-06,100000.0
2023-12-07,100000.0
2023-12-08,100000.0
2023-12-11,100000.0
2023-12-12,100000.0
2023-12-13,100000.0
2023-12-14,100000.0
2023-12-15,100000.0
2023-12-18,100000.0
2023-12-19,100000.0
2023-12-20,100000.0
2023-12-21,100000.0
2023-12-22,100000.0
2023-12-26,100000.0
2023-12-27,100000.0
2023-12-28,100000.0
2023-12-29,100000.0
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,100000.0
2024-02-02,100000.0
2024-02-05,100000.0
2024-02-06,100000.0
2024-02-07,100000.0
2024-02-08,100000.0
2024-02-09,99900.09990009991
2024-02-12,98691.79222182519
2024-02-13,96572.96123008867
2024-02-14,97912.9776719913
2024-02-15,97237.24605424327
2024-02-16,97071.17045305826
2024-02-20,95679.61689730974
2024-02-21,96544.32657962102
2024-02-22,99974.54818171808
2024-02-23,100209.33987743185
2024-02-26,100060.44331419548
2024-02-27,99378.979509358
2024-02-28,99161.3756132527
2024-02-29,101222.93736131967
2024-03-01,102059.02115482312
2024-03-04,101692.52069548142
2024-03-05,99711.12189280245
2024-03-06,99361.80047140938
2024-03-07,101257.30414161099
2024-03-08,100415.49692267795
2024-03-11,98474.1883257199
2024-03-12,100438.39938605617
2024-03-13,101108.40763564038
2024-03-14,102362.52894506563
2024-03-15,99882.92091941704
2024-03-18,99917.27893804853
2024-03-19,100730.45156377967
2024-03-20,102018.93094910218
2024-03-21,102018.93094910218
2024-03-22,102328.8137945548
2024-03-25,102328.8137945548
2024-03-26,102328.8137945548
2024-03-27,102328.8137945548
2024-03-28,102328.8137945548
2024-04-01,102328.8137945548
2024-04-02,102328.8137945548
2024-04-03,102328.8137945548
2024-04-04,102328.8137945548
2024-04-05,102328.8137945548
2024-04-08,102328.8137945548
2024-04-09,102328.8137945548
2024-04-10,102328.8137945548
2024-04-11,102328.8137945548
2024-04-12,102328.8137945548
2024-04-15,102328.8137945548
2024-04-16,102328.8137945548
2024-04-17,102328.8137945548
2024-04-18,102328.8137945548
2024-04-19,102328.8137945548
2024-04-22,102328.8137945548
2024-04-23,102328.8137945548
2024-04-24,102328.8137945548
2024-04-25,102328.8137945548
2024-04-26,102328.8137945548
2024-04-29,102328.8137945548
2024-04-30,102328.8137945548
2024-05-01,102328.8137945548
2024-05-02,102328.8137945548
2024-05-03,102328.8137945548
2024-05-06,102328.8137945548
2024-05-07,102328.8137945548
2024-05-08,102328.8137945548
2024-05-09,102328.8137945548
2024-05-10,102328.8137945548
2024-05-13,102328.8137945548
2024-05-14,102328.8137945548
2024-05-15,102328.8137945548
2024-05-16,102328.8137945548
2024-05-17,102328.8137945548
2024-05-20,102328.8137945548
2024-05-21,102328.8137945548
2024-05-22,102328.8137945548
2024-05-23,102328.8137945548
2024-05-24,102328.8137945548
2024-05-28,102328.8137945548
2024-05-29,102328.8137945548
2024-05-30,102328.8137945548
2024-05-31,102328.8137945548
2024-06-03,102328.8137945548
2024-06-04,102328.8137945548
2024-06-05,102328.8137945548
2024-06-06,102328.8137945548
2024-06-07,102328.8137945548
2024-06-10,102328.8137945548
2024-06-11,102328.8137945548
2024-06-12,102328.8137945548
2024-06-13,102328.8137945548
2024-06-14,102328.8137945548
2024-06-17,102328.8137945548
2024-06-18,102328.8137945548
2024-06-20,102328.8137945548
2024-06-21,102328.8137945548
2024-06-24,102328.8137945548
2024-06-25,102328.8137945548
2024-06-26,102328.8137945548
2024-06-27,102328.8137945548
2024-06-28,102328.8137945548
2024-07-01,102328.8137945548
2024-07-02,102328.8137945548
2024-07-03,102328.8137945548
2024-07-05,102328.8137945548
2024-07-08,102328.8137945548
2024-07-09,102328.8137945548
2024-07-10,102328.8137945548
2024-07-11,102328.8137945548
2024-07-12,102328.8137945548
2024-07-15,102328.8137945548
2024-07-16,102328.8137945548
2024-07-17,102328.8137945548
2024-07-18,102328.8137945548
2024-07-19,102328.8137945548
2024-07-22,102328.8137945548
2024-07-23,102328.8137945548
2024-07-24,102328.8137945548
2024-07-25,102328.8137945548
2024-07-26,102328.8137945548
2024-07-29,102328.8137945548
2024-07-30,102328.8137945548
2024-07-31,102328.8137945548
2024-08-01,102328.8137945548
2024-08-02,102328.8137945548
2024-08-05,102328.8137945548
2024-08-06,102328.8137945548
2024-08-07,102328.8137945548
2024-08-08,102328.8137945548
2024-08-09,102328.8137945548
2024-08-12,102328.8137945548
2024-08-13,102328.8137945548
2024-08-14,102328.8137945548
2024-08-15,102328.8137945548
2024-08-16,102328.8137945548
2024-08-19,102328.8137945548
2024-08-20,102328.8137945548
2024-08-21,102328.8137945548
2024-08-22,102328.8137945548
2024-08-23,102328.8137945548
2024-08-26,102328.8137945548
2024-08-27,102328.8137945548
2024-08-28,102328.8137945548
2024-08-29,102328.8137945548
2024-08-30,102328.8137945548
2024-09-03,102328.8137945548
2024-09-04,102328.8137945548
2024-09-05,102328.8137945548
2024-09-06,102328.8137945548
2024-09-09,102328.8137945548
2024-09-10,102328.8137945548
2024-09-11,102328.8137945548
2024-09-12,102328.8137945548
2024-09-13,102328.8137945548
2024-09-16,102328.8137945548
2024-09-17,102328.8137945548
2024-09-18,102328.8137945548
2024-09-19,102328.8137945548
2024-09-20,102328.8137945548
2024-09-23,102328.8137945548
2024-09-24,102328.8137945548
2024-09-25,102328.8137945548
2024-09-26,102328.8137945548
2024-09-27,102328.8137945548
2024-09-30,102328.8137945548
2024-10-01,102328.8137945548
2024-10-02,102328.8137945548
2024-10-03,102328.8137945548
2024-10-04,102328.8137945548
2024-10-07,102328.8137945548
2024-10-08,102226.58720734746
2024-10-09,103597.29008789363
2024-10-10,104425.30513002876
2024-10-11,105639.36523630797
2024-10-14,104818.31097135445
2024-10-15,104818.31097135445
2024-10-16,104818.31097135445
2024-10-17,104818.31097135445
2024-10-18,104818.31097135445
2024-10-21,104818.31097135445
2024-10-22,104818.31097135445
2024-10-23,104818.31097135445
2024-10-24,104818.31097135445
2024-10-25,104818.31097135445
2024-10-28,104818.31097135445
2024-10-29,104818.31097135445
2024-10-30,104818.31097135445
2024-10-31,104818.31097135445
2024-11-01,104818.31097135445
2024-11-04,104818.31097135445
2024-11-05,104818.31097135445
2024-11-06,104818.31097135445
2024-11-07,104818.31097135445
2024-11-08,104818.31097135445
2024-11-11,104818.31097135445
2024-11-12,104818.31097135445
2024-11-13,104818.31097135445
2024-11-14,104818.31097135445
2024-11-15,104818.31097135445
2024-11-18,104818.31097135445
2024-11-19,104818.31097135445
2024-11-20,104818.31097135445
2024-11-21,104818.31097135445
2024-11-22,104818.31097135445
2024-11-25,104818.31097135445
2024-11-26,104713.59737398049
2024-11-27,103645.60780073206
2024-11-29,104728.7098643867
2024-12-02,106149.34446532727
2024-12-03,107524.63393774776
2024-12-04,109902.42819496988
2024-12-05,111106.43778879865
2024-12-06,114370.8641274702
2024-12-09,113897.31922690535
2024-12-10,113368.35939304557
2024-12-11,115998.03851539084
2024-12-12,115348.17880865835
2024-12-13,114587.48913458199
2024-12-16,117343.1030573759
2024-12-17,116446.39336271919
2024-12-18,111091.32529839245
2024-12-19,112486.76218879507
2024-12-20,113307.90948179772
2024-12-23,113378.43695587585
2024-12-24,115388.48135230104
2024-12-26,114380.94169030047
2024-12-27,112718.49968631308
2024-12-30,111484.26516204886
2024-12-31,110522.06292088995
2025-01-02,110940.19278740589
2025-01-03,112940.15962100078
2025-01-06,114663.05153623606
2025-01-07,111892.31746573451
2025-01-08,111902.39502856479
2025-01-10,110295.36800824931
2025-01-13,110053.56065557945
2025-01-14,109591.21471225942
2025-01-15,109591.21471225942
2025-01-16,109591.21471225942
2025-01-17,109591.21471225942
2025-01-21,109591.21471225942
2025-01-22,109591.21471225942
2025-01-23,109591.21471225942
2025-01-24,109591.21471225942
2025-01-27,109591.21471225942
2025-01-28,109591.21471225942
2025-01-29,109591.21471225942
2025-01-30,109591.21471225942
2025-01-31,109591.21471225942
2025-02-03,109591.21471225942
2025-02-04,109591.21471225942
2025-02-05,109591.21471225942
2025-02-06,109591.21471225942
2025-02-07,109591.21471225942
2025-02-10,109591.21471225942
2025-02-11,109591.21471225942
2025-02-12,109591.21471225942
2025-02-13,109591.21471225942
2025-02-14,109591.21471225942
2025-02-18,109591.21471225942
2025-02-19,109591.21471225942
2025-02-20,109591.21471225942
2025-02-21,109591.21471225942
2025-02-24,109591.21471225942
2025-02-25,109591.21471225942
2025-02-26,109591.21471225942
2025-02-27,109591.21471225942
2025-02-28,109591.21471225942
2025-03-03,109591.21471225942
2025-03-04,109591.21471225942
2025-03-05,109591.21471225942
2025-03-06,109591.21471225942
2025-03-07,109591.21471225942
2025-03-10,109591.21471225942
2025-03-11,109591.21471225942
2025-03-12,109591.21471225942
2025-03-13,109591.21471225942
2025-03-14,109591.21471225942
2025-03-17,109591.21471225942
2025-03-18,109591.21471225942
2025-03-19,109591.21471225942
2025-03-20,109591.21471225942
2025-03-21,109591.21471225942
2025-03-24,109591.21471225942
2025-03-25,109591.21471225942
2025-03-26,109591.21471225942
2025-03-27,109591.21471225942
2025-03-28,109591.21471225942
2025-03-31,109591.21471225942
2025-04-01,109591.21471225942
2025-04-02,109591.21471225942
2025-04-03,109591.21471225942
2025-04-04,109591.21471225942
2025-04-07,109591.21471225942
2025-04-08,109591.21471225942
2025-04-09,109591.21471225942
2025-04-10,109591.21471225942
2025-04-11,109591.21471225942
2025-04-14,109591.21471225942
2025-04-15,109591.21471225942
2025-04-16,109591.21471225942
2025-04-17,109591.21471225942
2025-04-21,109591.21471225942
2025-04-22,109591.21471225942
2025-04-23,109591.21471225942
2025-04-24,109591.21471225942
2025-04-25,109591.21471225942
2025-04-28,109591.21471225942
2025-04-29,109591.21471225942
2025-04-30,109591.21471225942
2025-05-01,109591.21471225942
2025-05-02,109591.21471225942
2025-05-05,109591.21471225942
2025-05-06,109591.21471225942
2025-05-07,109591.21471225942
2025-05-08,109591.21471225942
2025-05-09,109591.21471225942
2025-05-12,109591.21471225942
2025-05-13,109591.21471225942
