Date,portfolio_value
2023-11-27,100000.0
2023-11-28,100000.0
2023-11-29,100000.0
2023-11-30,100000.0
2023-12-01,100000.0
2023-12-04,100000.0
2023-12-05,100000.0
2023-12-06,100000.0
2023-12-07,100000.0
2023-12-08,100000.0
2023-12-11,100000.0
2023-12-12,100000.0
2023-12-13,100000.0
2023-12-14,100000.0
2023-12-15,100000.0
2023-12-18,100000.0
2023-12-19,100000.0
2023-12-20,100000.0
2023-12-21,100000.0
2023-12-22,100000.0
2023-12-26,100000.0
2023-12-27,100000.0
2023-12-28,100000.0
2023-12-29,100000.0
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,99900.09990009991
2024-01-18,101028.70411882034
2024-01-19,102259.90869040275
2024-01-22,101705.88247432486
2024-01-23,102318.90391210593
2024-01-24,103257.7132361533
2024-01-25,103850.2462882245
2024-01-26,103609.1195556052
2024-01-29,105094.27591364268
2024-01-30,104804.4298266611
2024-01-31,101980.33055862594
2024-02-01,103570.64442003927
2024-02-02,105479.01943499007
2024-02-05,104050.30911216087
2024-02-06,104009.2531156141
2024-02-07,106204.91714485688
2024-02-08,106220.31512159594
2024-02-09,107872.19710167433
2024-02-12,106515.29120417041
2024-02-13,104222.15684359998
2024-02-14,105229.50892510469
2024-02-15,104476.56779336478
2024-02-16,103834.13580417096
2024-02-20,103507.76208259258
2024-02-21,103351.00359893497
2024-02-22,105784.58016574587
2024-02-23,105447.93848896273
2024-02-26,104728.41373236246
2024-02-27,104712.99199327356
2024-02-28,104774.66304753257
2024-02-29,106295.97496223738
2024-03-01,106773.93758525842
2024-03-04,106624.89787031065
2024-03-05,103471.79654689948
2024-03-06,103327.87891540848
2024-03-07,105139.57525364877
2024-03-08,104389.19913267602
2024-03-11,103952.34000495994
2024-03-12,106717.412376806
2024-03-13,106671.15512355833
2024-03-14,109271.76606730916
2024-03-15,107010.36181110864
2024-03-18,107241.64016521083
2024-03-19,108292.67657705994
2024-03-20,109274.33105213489
2024-03-21,110338.20836803346
2024-03-22,110176.32774903624
2024-03-25,108665.28378953617
2024-03-26,108354.35554345507
2024-03-27,108297.82242286652
2024-03-28,108115.358420643
2024-04-01,109104.7237782331
2024-04-02,108300.37952149754
2024-04-03,108045.98439600498
2024-04-04,107385.54985862429
2024-04-05,109348.84301044336
2024-04-08,109109.86962403968
2024-04-09,109544.15582885247
2024-04-10,108768.08210144997
2024-04-11,109968.15822824682
2024-04-12,108418.59954655878
2024-04-15,106295.97496223738
2024-04-16,106537.52129748577
2024-04-17,105833.4024297607
2024-04-18,103888.08808972011
2024-04-19,102564.66191632769
2024-04-22,102934.4570232966
2024-04-23,102934.4570232966
2024-04-24,102934.4570232966
2024-04-25,102934.4570232966
2024-04-26,102934.4570232966
2024-04-29,102934.4570232966
2024-04-30,102934.4570232966
2024-05-01,102934.4570232966
2024-05-02,102934.4570232966
2024-05-03,102934.4570232966
2024-05-06,102934.4570232966
2024-05-07,102934.4570232966
2024-05-08,102934.4570232966
2024-05-09,102934.4570232966
2024-05-10,102934.4570232966
2024-05-13,102934.4570232966
2024-05-14,102934.4570232966
2024-05-15,102934.4570232966
2024-05-16,102934.4570232966
2024-05-17,102934.4570232966
2024-05-20,102934.4570232966
2024-05-21,102934.4570232966
2024-05-22,102934.4570232966
2024-05-23,102934.4570232966
2024-05-24,102934.4570232966
2024-05-28,102934.4570232966
2024-05-29,102934.4570232966
2024-05-30,102934.4570232966
2024-05-31,102934.4570232966
2024-06-03,102831.62539789872
2024-06-04,103465.74660274827
2024-06-05,105440.20710052909
2024-06-06,105567.03438855734
2024-06-07,105400.42685189935
2024-06-10,106400.09512524922
2024-06-11,107596.21759831427
2024-06-12,109680.09294923174
2024-06-13,109809.41318703299
2024-06-14,110055.60419917824
2024-06-17,111497.9100667427
2024-06-18,110993.10148204856
2024-06-20,110833.95750930178
2024-06-21,111848.54529282829
2024-06-24,111323.8389411154
2024-06-25,112139.48719279958
2024-06-26,112440.37796375125
2024-06-27,112611.96378230941
2024-06-28,111144.78953358796
2024-07-01,113576.8147784639
2024-07-02,114210.93595825539
2024-07-03,114581.46133371393
2024-07-05,116269.95818836559
2024-07-08,115941.7060614259
2024-07-09,114275.599923566
2024-07-10,115944.1990111989
2024-07-11,113072.02150423556
2024-07-12,112786.04257569862
2024-07-15,112887.99381480794
2024-07-16,111783.88899527962
2024-07-17,110291.83869763925
2024-07-18,109508.51477337745
2024-07-19,108697.8371358315
2024-07-22,110147.61421001107
2024-07-23,110622.57613164806
2024-07-24,106656.22736567094
2024-07-25,104045.15271326757
2024-07-26,105753.53971729214
2024-07-29,106116.60914648528
2024-07-30,105169.17063533848
2024-07-31,104032.72617792197
2024-08-01,103620.63215102769
2024-08-02,103620.63215102769
2024-08-05,103620.63215102769
2024-08-06,103620.63215102769
2024-08-07,103620.63215102769
2024-08-08,103620.63215102769
2024-08-09,103620.63215102769
2024-08-12,103620.63215102769
2024-08-13,103620.63215102769
2024-08-14,103620.63215102769
2024-08-15,103620.63215102769
2024-08-16,103620.63215102769
2024-08-19,103620.63215102769
2024-08-20,103620.63215102769
2024-08-21,103620.63215102769
2024-08-22,103620.63215102769
2024-08-23,103620.63215102769
2024-08-26,103620.63215102769
2024-08-27,103620.63215102769
2024-08-28,103620.63215102769
2024-08-29,103620.63215102769
2024-08-30,103620.63215102769
2024-09-03,103620.63215102769
2024-09-04,103620.63215102769
2024-09-05,103620.63215102769
2024-09-06,103620.63215102769
2024-09-09,103620.63215102769
2024-09-10,103620.63215102769
2024-09-11,103620.63215102769
2024-09-12,103620.63215102769
2024-09-13,103620.63215102769
2024-09-16,103620.63215102769
2024-09-17,103620.63215102769
2024-09-18,103620.63215102769
2024-09-19,103620.63215102769
2024-09-20,103620.63215102769
2024-09-23,103620.63215102769
2024-09-24,103620.63215102769
2024-09-25,103620.63215102769
2024-09-26,103620.63215102769
2024-09-27,103517.11503599171
2024-09-30,104068.53387948075
2024-10-01,101744.35049566969
2024-10-02,100883.36173910034
2024-10-03,100740.66662490835
2024-10-04,100624.57140923594
2024-10-07,99047.7017558183
2024-10-08,100298.07496030809
2024-10-09,100963.16882997303
2024-10-10,100571.3641925561
2024-10-11,100687.4519885878
2024-10-14,101369.479813741
2024-10-15,101272.73132341262
2024-10-16,100639.07775558696
2024-10-17,100683.40886621618
2024-10-18,100683.40886621618
2024-10-21,100683.40886621618
2024-10-22,100683.40886621618
2024-10-23,100683.40886621618
2024-10-24,100683.40886621618
2024-10-25,100683.40886621618
2024-10-28,100683.40886621618
2024-10-29,100683.40886621618
2024-10-30,100683.40886621618
2024-10-31,100683.40886621618
2024-11-01,100683.40886621618
2024-11-04,100683.40886621618
2024-11-05,100683.40886621618
2024-11-06,100683.40886621618
2024-11-07,100683.40886621618
2024-11-08,100683.40886621618
2024-11-11,100683.40886621618
2024-11-12,100683.40886621618
2024-11-13,100683.40886621618
2024-11-14,100683.40886621618
2024-11-15,100683.40886621618
2024-11-18,100683.40886621618
2024-11-19,100683.40886621618
2024-11-20,100683.40886621618
2024-11-21,100683.40886621618
2024-11-22,100683.40886621618
2024-11-25,100683.40886621618
2024-11-26,100683.40886621618
2024-11-27,100683.40886621618
2024-11-29,100683.40886621618
2024-12-02,100683.40886621618
2024-12-03,100683.40886621618
2024-12-04,100683.40886621618
2024-12-05,100683.40886621618
2024-12-06,100683.40886621618
2024-12-09,100582.82604017602
2024-12-10,99976.19432549819
2024-12-11,101252.60179046406
2024-12-12,101381.13511062831
2024-12-13,100864.7150631302
2024-12-16,101838.92240199045
2024-12-17,102486.14868210288
2024-12-18,98636.66356123282
2024-12-19,98555.47443036364
2024-12-20,98458.51311668553
2024-12-23,98154.06769636025
2024-12-24,99074.1535585587
2024-12-26,98799.0279912181
2024-12-27,97089.64869032027
2024-12-30,95804.22559360147
2024-12-31,95053.27454419735
2025-01-02,94394.78043355473
2025-01-03,95470.47417468249
2025-01-06,96485.27605633941
2025-01-07,95249.47008400364
2025-01-08,95743.34066132613
2025-01-10,94478.22174056327
2025-01-13,94081.31938147648
2025-01-14,93644.80685820544
2025-01-15,93644.80685820544
2025-01-16,93644.80685820544
2025-01-17,93644.80685820544
2025-01-21,93644.80685820544
2025-01-22,93644.80685820544
2025-01-23,93644.80685820544
2025-01-24,93644.80685820544
2025-01-27,93644.80685820544
2025-01-28,93644.80685820544
2025-01-29,93644.80685820544
2025-01-30,93644.80685820544
2025-01-31,93644.80685820544
2025-02-03,93644.80685820544
2025-02-04,93644.80685820544
2025-02-05,93644.80685820544
2025-02-06,93644.80685820544
2025-02-07,93644.80685820544
2025-02-10,93644.80685820544
2025-02-11,93644.80685820544
2025-02-12,93644.80685820544
2025-02-13,93644.80685820544
2025-02-14,93644.80685820544
2025-02-18,93644.80685820544
2025-02-19,93644.80685820544
2025-02-20,93644.80685820544
2025-02-21,93644.80685820544
2025-02-24,93644.80685820544
2025-02-25,93644.80685820544
2025-02-26,93644.80685820544
2025-02-27,93644.80685820544
2025-02-28,93644.80685820544
2025-03-03,93644.80685820544
2025-03-04,93644.80685820544
2025-03-05,93644.80685820544
2025-03-06,93644.80685820544
2025-03-07,93644.80685820544
2025-03-10,93644.80685820544
2025-03-11,93644.80685820544
2025-03-12,93644.80685820544
2025-03-13,93644.80685820544
2025-03-14,93644.80685820544
2025-03-17,93644.80685820544
2025-03-18,93644.80685820544
2025-03-19,93644.80685820544
2025-03-20,93644.80685820544
2025-03-21,93644.80685820544
2025-03-24,93644.80685820544
2025-03-25,93644.80685820544
2025-03-26,93644.80685820544
2025-03-27,93644.80685820544
2025-03-28,93644.80685820544
2025-03-31,93644.80685820544
2025-04-01,93644.80685820544
2025-04-02,93644.80685820544
2025-04-03,93644.80685820544
2025-04-04,93644.80685820544
2025-04-07,93644.80685820544
2025-04-08,93644.80685820544
2025-04-09,93644.80685820544
2025-04-10,93644.80685820544
2025-04-11,93644.80685820544
2025-04-14,93644.80685820544
2025-04-15,93644.80685820544
2025-04-16,93644.80685820544
2025-04-17,93644.80685820544
2025-04-21,93644.80685820544
2025-04-22,93644.80685820544
2025-04-23,93644.80685820544
2025-04-24,93644.80685820544
2025-04-25,93644.80685820544
2025-04-28,93644.80685820544
2025-04-29,93644.80685820544
2025-04-30,93644.80685820544
2025-05-01,93644.80685820544
2025-05-02,93644.80685820544
2025-05-05,93644.80685820544
2025-05-06,93644.80685820544
2025-05-07,93551.25560260285
2025-05-08,94591.7911459375
