date,close,cash,shares_held,portfolio_value,action,reward
2023-12-22,191.9746704,100000.0,0.0,100000.0,0,0.0
2023-12-26,191.9746704,49950.0,260.4510266683599,99950.0,1,-0.0005
2023-12-27,191.429306,49832.84224139374,261.0624310574474,99807.84224139374,1,14.991551600011068
2023-12-28,191.5284424,49929.70495061826,260.55618943777756,99833.62607131513,1,0.8436243044161761
2023-12-29,191.9548492,50027.81775559993,260.0445534129156,99944.63079125748,1,4.9292652906079235
2024-01-02,190.9136658,49701.23506692255,261.7534747249547,99673.5504625513,1,-4.1125324308869855
2024-01-03,184.0814819,48046.77454777932,270.73214924654326,97883.54977905497,1,82.13683196715384
2024-01-04,182.7031708,48568.09991587881,267.87589222029794,97509.87480540629,1,-0.6207574681459089
2024-01-05,180.3828125,48132.93462225682,270.2859364868986,96887.87202495996,1,-0.8062918726089776
2024-01-08,179.6589355,48248.16689201628,269.64389985757197,96692.10290449626,1,-0.42843341621484937
2024-01-09,184.0021667,49515.90824064023,262.747185640875,97861.95969288835,1,6.761435479912952
2024-01-10,183.5856934,48820.85830339294,266.5293735053332,97751.83814983712,1,-0.17813802254970562
2024-01-11,184.6268768,49153.09246749388,264.72808250915807,98029.01154241244,1,0.5313949602656562
2024-01-12,184.0319214,48856.70828088724,266.33697783696687,97871.21405209346,1,-0.2719820607664733
2024-01-16,184.3591461,49022.59301293551,265.43628597359145,97958.20003898224,1,0.1684547216136732
2024-01-17,182.0883789,48375.70977060715,268.98531534727783,97354.80979009825,1,-1.0221211241395411
2024-01-18,181.1463318,48423.95976049547,268.71868953323803,97101.3646555446,1,-0.4652711723385688
2024-01-19,187.046402,50134.42927837082,259.56490907412535,98685.11160614312,1,6.323625805852049
2024-01-22,189.9518127,50096.66073642892,259.7635426675323,99439.21653950048,1,1.008725195382017
2024-01-23,192.2622528,50319.55325960854,258.6030671422063,100039.1615293588,1,0.756317433647487
2024-01-24,193.5413971,50350.34058583249,258.44383431227897,100369.92135051188,1,0.453003993053346
2024-01-25,192.8671112,50010.35599689324,260.2048652204624,100195.31667214917,1,-0.3056797868206805
2024-01-26,192.5399017,50012.5146713929,260.19364242811696,100110.17300746749,1,-0.14630781462353865
